tahun,kota_kabupaten,kecamatan,kelurahan,jenis_kelamin,jumlah
2017,Jakarta Timur,Jatinegara,Kampung Melayu,Perempuan,192
2017,Jakarta Timur,Jatinegara,Bidara Cina,Perempuan,229
2017,Jakarta Timur,Jatinegara,Bali Mester,Perempuan,59
2017,Jakarta Timur,Jatinegara,Rawa Bunga,Perempuan,151
2017,Jakarta Timur,Jatinegara,Cipinang Cempedak,Perempuan,196
2017,Jakarta Timur,Jatinegara,Cipinang Muara,Perempuan,422
2017,Jakarta Timur,Jatinegara,Cipinang Besar Selatan,Perempuan,271
2017,Jakarta Timur,Jatinegara,Cipinang Besar Utara,Perempuan,297
2017,Jakarta Timur,Kramat Jati,Kramat Jati,Perempuan,223
2017,Jakarta Timur,Kramat Jati,Kampung Tengah,Perempuan,308
2017,Jakarta Timur,Kramat Jati,Dukuh,Perempuan,197
2017,Jakarta Timur,Kramat Jati,Batu Ampar,Perempuan,342
2017,Jakarta Timur,Kramat Jati,Bale Kambang,Perempuan,205
2017,Jakarta Timur,Kramat Jati,Cililitan,Perempuan,300
2017,Jakarta Timur,Kramat Jati,Cawang,Perempuan,211
2017,Jakarta Timur,Pasar Rebo,Gedong,Perempuan,301
2017,Jakarta Timur,Pasar Rebo,Baru,Perempuan,216
2017,Jakarta Timur,Pasar Rebo,Cijantung,Perempuan,286
2017,Jakarta Timur,Pasar Rebo,Kalisari,Perempuan,320
2017,Jakarta Timur,Pasar Rebo,Pekayon,Perempuan,367
2017,Jakarta Timur,Cakung,Jatinegara,Perempuan,576
2017,Jakarta Timur,Cakung,Rawa Terate,Perempuan,204
2017,Jakarta Timur,Cakung,Penggilingan,Perempuan,716
2017,Jakarta Timur,Cakung,Cakung Timur,Perempuan,500
2017,Jakarta Timur,Cakung,Pulo Gebang,Perempuan,621
2017,Jakarta Timur,Cakung,Ujung Menteng,Perempuan,211
2017,Jakarta Timur,Cakung,Cakung Barat,Perempuan,440
2017,Jakarta Timur,Duren Sawit,Duren Sawit,Perempuan,422
2017,Jakarta Timur,Duren Sawit,Pondok Bambu,Perempuan,407
2017,Jakarta Timur,Duren Sawit,Klender,Perempuan,515
2017,Jakarta Timur,Duren Sawit,Pondok Kelapa,Perempuan,484
2017,Jakarta Timur,Duren Sawit,Malaka Sari,Perempuan,203
2017,Jakarta Timur,Duren Sawit,Malaka Jaya,Perempuan,209
2017,Jakarta Timur,Duren Sawit,Pondok Kopi,Perempuan,261
2017,Jakarta Timur,Makasar,Makasar,Perempuan,280
2017,Jakarta Timur,Makasar,Pinang Ranti,Perempuan,207
2017,Jakarta Timur,Makasar,Kebon Pala,Perempuan,342
2017,Jakarta Timur,Makasar,Halim Perdana Kusumah,Perempuan,225
2017,Jakarta Timur,Makasar,Cipinang Melayu,Perempuan,306
2017,Jakarta Timur,Ciracas,Ciracas,Perempuan,440
2017,Jakarta Timur,Ciracas,Cibubur,Perempuan,440
2017,Jakarta Timur,Ciracas,Kelapa Dua Wetan,Perempuan,305
2017,Jakarta Timur,Ciracas,Susukan,Perempuan,257
2017,Jakarta Timur,Ciracas,Rambutan,Perempuan,237
2017,Jakarta Timur,Cipayung,Cipayung,Perempuan,182
2017,Jakarta Timur,Cipayung,Cilangkap,Perempuan,223
2017,Jakarta Timur,Cipayung,Pondok Ranggon,Perempuan,197
2017,Jakarta Timur,Cipayung,Munjul,Perempuan,170
2017,Jakarta Timur,Cipayung,Setu,Perempuan,150
2017,Jakarta Timur,Cipayung,Bambu Apus,Perempuan,188
2017,Jakarta Timur,Cipayung,Lubang Buaya,Perempuan,448
2017,Jakarta Timur,Cipayung,Ceger,Perempuan,134
